# (1)	(2)
# kT	c
8.488721466064453125e+01	8.253994584083557129e-02
8.511278533935546875e+01	8.211275935173034668e-02
8.533834838867187500e+01	8.168884366750717163e-02
8.556391143798828125e+01	8.126809448003768921e-02
8.578947448730468750e+01	8.085052669048309326e-02
8.601503753662109375e+01	8.043611049652099609e-02
8.624060058593750000e+01	8.002477139234542847e-02
8.646616363525390625e+01	7.961653172969818115e-02
8.669172668457031250e+01	7.921132445335388184e-02
8.691728973388671875e+01	7.880913466215133667e-02
8.714286041259765625e+01	7.840992510318756104e-02
8.736842346191406250e+01	7.801368087530136108e-02
8.759398651123046875e+01	7.762037962675094604e-02
8.781954956054687500e+01	7.722996175289154053e-02
8.804511260986328125e+01	7.684242725372314453e-02
8.827067565917968750e+01	7.645776867866516113e-02
8.849623870849609375e+01	7.607588171958923340e-02
8.872180175781250000e+01	7.569681107997894287e-02
8.894736480712890625e+01	7.532050460577011108e-02
8.917293548583984375e+01	7.494693994522094727e-02
8.939849853515625000e+01	7.457607984542846680e-02
8.962406158447265625e+01	7.420788705348968506e-02
8.984962463378906250e+01	7.384241372346878052e-02
9.007518768310546875e+01	7.347954809665679932e-02
9.030075073242187500e+01	7.311929017305374146e-02
9.052631378173828125e+01	7.276163250207901001e-02
9.075187683105468750e+01	7.240653038024902344e-02
9.097743988037109375e+01	7.205397635698318481e-02
9.120301055908203125e+01	7.170393317937850952e-02
9.142857360839843750e+01	7.135639339685440063e-02
9.165413665771484375e+01	7.101131230592727661e-02
9.187969970703125000e+01	7.066868245601654053e-02
9.210526275634765625e+01	7.032847404479980469e-02
9.233082580566406250e+01	6.999070197343826294e-02
9.255638885498046875e+01	6.965528428554534912e-02
9.278195190429687500e+01	6.932222843170166016e-02
9.300751495361328125e+01	6.899148225784301758e-02
9.323308563232421875e+01	6.866307556629180908e-02
9.345864868164062500e+01	6.833695620298385620e-02
9.368421173095703125e+01	6.801313161849975586e-02
9.390977478027343750e+01	6.769154220819473267e-02
9.413533782958984375e+01	6.737218052148818970e-02
9.436090087890625000e+01	6.705505400896072388e-02
9.458646392822265625e+01	6.674010306596755981e-02
9.481202697753906250e+01	6.642732769250869751e-02
